11,"Some socks are on the chair, and a pair of shoes is under it.",一些短袜在椅子上，椅子下面有一双鞋。,介词 on 和 under 表示“在……上／在……下”。a pair of 加复数名词表示“一双……”，some 后面接复数名词 socks。,chair|/tʃeə(r)/|n.|椅子; sock|/sɒk/|n.|短袜; some|/sʌm; səm/|adj. & pron.|一些；某些；有些；有的; pair|/peə(r)/|n.|一双；一对; of|/ɒv; əv/|prep.|属于（某人）；关于（某人）; on|/ɒn/|prep.|在……上; under|/'ʌndə(r)/|prep.|在……下,a pair of|一双……; on the chair|在椅子上; under it|在它下面,今日回读：请重新朗读第 10、9、7、4 天的句子。自然重现旧词：shoe（复数 shoes）、and、the、are、is、it、a。,"71,72,73,74,75,76,77"
12,"""Mum, I can not find my new shoes in the room!"" ""No? OK, keep your room tidy, Harry.""",“妈妈，我在房间里找不到我的新鞋了！”“没有吗？好吧，哈利，那你要保持房间整洁。”,can not（可缩写 can't）加动词原形表示“不能做某事”；in the room 用介词 in。keep your room tidy 是祈使句，用来提出建议。,mum|/mʌm/ (= mom /mɒm/)|n.|妈妈; not|/nɒt/|adv.|不；没有; find|/faɪnd/|v.|找到；发现; new|/njuː/|adj.|新的；刚出现的; no|/nəʊ/|interj. & adj.|不；不要；没有；不是; room|/ruːm/|n.|房间; OK|/əʊ'keɪ/|interj. & adj. & adv.|好；行；可以（的）,in the room|在房间里; keep your room tidy|保持房间整洁,今日回读：请重新朗读第 11、10、8、5 天的句子。自然重现旧词：can、my、in、shoe（shoes）、keep、tidy、your、I。,"78,79,80,81,82,83,84"
13,"Sorry, Dad, your glasses are on your head — I can see them! Welcome to my room.",对不起，爸爸，你的眼镜就在你头上——我能看见它们！欢迎来到我的房间。,宾格 them 指代上文复数名词 glasses。on your head 是介词短语；Welcome to 加地点表示“欢迎来到”。,"sorry|/'sɒri/|adj.|抱歉的；惋惜的; dad|/dæd/|n.|爸爸; glasses|/'ɡlɑːsɪz/|n. (pl.)|眼镜; see|/siː/|v.|看见; them|/ðem; ðəm/|pron.|（they 的宾格）他（她、它）们; head|/hed/|n.|头; welcome|/'welkəm/|adj. & interj., v. & n.|受欢迎的；欢迎",on your head|在你头上; welcome to|欢迎来到……,今日回读：请重新朗读第 12、11、9、6 天的句子。自然重现旧词：your、can、my、on、room（承接第 12 天房间场景）、I。,"85,86,87,88,89,90,91"
14,"These baby chickens are brown, and Mum's black cat puts her nose on the plant.",这些小鸡宝宝是棕色的，妈妈的黑猫把它的鼻子凑到植物上。,these 加复数名词表示“这些”。Mum's 是名词所有格，表示“妈妈的”；颜色词 brown、black 放在名词前作定语。,her|/hɜː(r); hə(r)/|pron.|她的; nose|/nəʊz/|n.|鼻子; cat|/kæt/|n.|猫; these|/ðiːz/|pron.|这些; plant|/plɑːnt/|n. & v.|植物；种植; baby|/'beɪbi/|n.|动物幼崽；婴儿; chicken|/'tʃɪkɪn/|n.|鸡；鸡肉,baby chickens|小鸡宝宝; black cat|黑猫; her nose|她的鼻子,今日回读：请重新朗读第 13、12、10、7 天的句子。本句回顾颜色词 brown、black，动词 put（三单 puts）、介词 on，以及第 12 天的 Mum。,"92,93,94,95,96,97,98"
15,This dog and the rabbit are under the apple tree. Flowers and tomatoes are red.,这只狗和那只兔子在苹果树下面。花和西红柿都是红色的。,this 加单数名词表示“这个”。复数主语 flowers and tomatoes 后面 be 动词用 are；tomato 的复数要加 -es（tomatoes）。,dog|/dɒɡ/|n.|狗; rabbit|/'ræbɪt/|n.|兔子; tomato|/tə'mɑːtəʊ; tə'meɪtəʊ/|n.|(pl. tomatoes) 西红柿; flower|/'flaʊə(r)/|n.|花; apple|/'æpl/|n.|苹果; tree|/triː/|n.|树; this|/ðɪs/|pron.|这；这个,under the tree|在树下; apple tree|苹果树,今日回读：请重新朗读第 14、13、11、8 天的句子。自然重现旧词：under（第 11 天）、red、and、the、are，承接第 14 天农场动物场景。,"99,100,101,102,103,104,105"
16,Those animals on the farm are ducks. Grandpa has many potatoes and chickens.,农场里那些动物是鸭子。爷爷有许多土豆和鸡。,those 加复数名词表示“那些”，和 this、these 对应。many 加复数名词表示“许多”；potato 的复数是 potatoes。,those|/ðəʊz/|pron.|那些; animal|/'ænɪml/|n.|动物; duck|/dʌk/|n.|鸭子; potato|/pə'teɪtəʊ/|n.|(pl. potatoes) 土豆; many|/'meni/|adj. & pron.|许多; grandpa|/'ɡrænpɑː/ (= grandfather /'ɡrænfɑːðə(r)/)|n.|爷爷；外公; farm|/fɑːm/|n.|农场,on the farm|在农场; many potatoes|许多土豆,今日回读：请重新朗读第 15、14、12、9、1 天的句子。自然重现旧词：on、the、have（三单 has）、and、chicken（第 14 天）。,"106,107,108,109,110,111,112"
17,"The farm has a small house, a big lake, cows, horses and sheep.",农场里有一座小房子、一个大湖，还有奶牛、马和绵羊。,名词复数：cow 变 cows、horse 变 horses，sheep 单复数同形。形容词 small、big 放在名词前面。,cow|/kaʊ/|n.|奶牛; small|/smɔːl/|adj.|小的; lake|/leɪk/|n.|湖; house|/haʊs/|n.|房子; horse|/hɔːs/|n.|马; sheep|/ʃiːp/|n.|(pl. sheep) 羊；绵羊; big|/bɪɡ/|adj.|大的,a big lake|一个大湖; cows and sheep|奶牛和绵羊,今日回读：请重新朗读第 16、15、13、10、2 天的句子。自然重现旧词：farm（第 16 天）、have（has）、a、and、the。,"113,114,115,116,117,118,119"
18,Look! There is a kind pig on the grass. He is Uncle's baby pig.,看！草地上有一头友善的猪。它是舅舅的猪宝宝。,there be 句型：There is 加单数名词，表示“有”。he 指代上文提到的动物；Uncle's 是名词所有格。,look|/lʊk/|v.|看；看起来; uncle|/'ʌŋkl/|n.|舅父；叔父；伯父；姑父；姨父; grass|/ɡrɑːs/|n.|草; kind|/kaɪnd/|n. & adj.|种类；体贴的；亲切的; he|/hiː; hi/|pron.|他; pig|/pɪɡ/|n.|猪; there|/ðeə(r)/|adv.|在那里,there is|有（接单数）; on the grass|在草地上,今日回读：请重新朗读第 17、16、14、11、3 天的句子。自然重现旧词：on、baby（第 14 天）、is、a、the。,"120,121,122,123,124,125,126"
19,Look at his beautiful home behind the farm. We like it!,看他在农场后面美丽的家。我们真喜欢它！,behind 表示“在……后面”；look at 加名词表示“看……”；his 是物主代词“他的”，we 是主格“我们”。,behind|/bɪ'haɪnd/|prep.|在……的后面; home|/həʊm/|n.|家; beautiful|/'bjuːtɪfl/|adj.|美丽的; like|/laɪk/|v. & prep.|喜欢；例如；像……一样; his|/hɪz; ɪz/|pron.|他的; at|/æt; ət/|prep.|向；朝；在（某处、某时间或时刻）; we|/wiː; wi/|pron.|我们,look at|看……; behind the farm|在农场后面,今日回读：请重新朗读第 18、17、15、12、4 天的句子。自然重现旧词：look（第 18 天）、farm（第 16、17 天）、the、it。,"127,128,129,130,131,132,133"
20,"Harry and Ron make friends and get apples from old Hagrid. ""May I know your name, friend?""",哈利和罗恩交上了朋友，还从老海格那里得到了苹果。“朋友，我可以知道你的名字吗？”,make friends 是固定搭配“交朋友”。May I ...? 表示礼貌地请求“我可以……吗”；from 表示“从……”。,make|/meɪk/|v.|使成为；制造; friend|/frend/|n.|朋友; get|/ɡet/|v.|去取（或带来）；得到; know|/nəʊ/|v.|知道; from|/frɒm; frəm/|prep.|从……来；从……开始; may|/meɪ/|modal v.|可以；可能; old|/əʊld/|adj.|老的；旧的,make friends|交朋友; get ... from|从……得到……,今日回读：请重新朗读第 19、18、16、13、5 天的句子。自然重现旧词：and、your、name、apple（第 15 天）、I，为第 2 幕收尾。,"134,135,136,137,138,139,140"
