21,"Yes, Mr Dumbledore, last year our English teacher had a dog on his farm.",好的，邓布利多先生，去年我们的英语老师在他的农场里养了一只狗。,一般过去时标志 last year，had 是 have 的过去式；Yes 用于应答，Mr 放在姓氏前称呼男士。,last|/lɑːst/|adj.|最后的；末尾的; year|/jɪə(r); jɜː(r)/|n.|年; yes|/jes/|interj.|是的；可以; Mr|/'mɪstə(r)/||（用于男子的姓氏或姓名前）先生; our|/ɑː(r); 'aʊə(r)/|pron.|我们的; English|/'ɪŋɡlɪʃ/|n. & adj.|英语；英格兰人；英语的；英格兰的; teacher|/'tiːtʃə(r)/|n.|教师,last year|去年; our English teacher|我们的英语老师; on the farm|在农场,今日回读：请重新朗读背诵第 20、19、17、14、6 天的句子。本句重现了 dog、farm、his、have（had）。,"141,142,143,144,145,146,147"
22,Who is she? She is a student of my age. Which job is her favourite?,她是谁？她和我同龄，是一名学生。她最喜欢的工作是什么？,who 问“谁”，which 问“哪一个”；of my age 表示“和我同龄的”，favourite 后常接名词。,which|/wɪtʃ/|pron.|哪一个；哪一些; who|/huː/|pron.|谁；什么人; job|/dʒɒb/|n.|工作; student|/'stjuːdnt/|n.|学生; age|/eɪdʒ/|n.|年龄; she|/ʃiː; ʃi/|pron.|她; favourite|/'feɪvərɪt/ (= favorite)|adj.|最喜欢的；最爱的,of my age|和我同龄; her favourite job|她最喜欢的工作,今日回读：请重新朗读背诵第 21、20、18、15、7 天的句子。自然重现旧词 is、a、of、my、her。,"148,149,150,151,152,153,154"
23,"I like my pet Hedwig very much; she is cute, like a panda in hot China.",我非常喜欢我的宠物海德薇；她很可爱，就像炎热的中国的熊猫一样。,like...very much 表示“非常喜欢”；第二个 like 是介词“像……一样”。,pet|/pet/|n.|宠物; very|/'veri/|adv.|很；非常; cute|/kjuːt/|adj.|可爱的; much|/mʌtʃ/|adv. & pron. & adj.|非常；十分；许多；大量; China|/'tʃaɪnə/||中国; panda|/'pændə/|n.|熊猫; hot|/hɒt/|adj.|热的；炎热的,very much|非常; like a panda|像熊猫一样,今日回读：请重新朗读背诵第 22、21、19、16、8 天的句子。自然重现旧词 I、like、my、is、a、in，以及昨天的 she。,"155,156,157,158,159,160,161"
24,"Now Ron lives with his parents at home, and they also like Chinese food.",现在罗恩和他的父母住在家里，他们也喜欢中国菜。,一般现在时，主语 Ron 是第三人称单数，live 要加 -s；also 常放在实义动词前。,also|/'ɔːlsəʊ/|adv.|也；而且; now|/naʊ/|adv.|现在；目前; live|/lɪv/|v.|居住；生活; with|/wɪð; wɪθ/|prep.|和……在一起；带有；使用; parent|/'peərənt/|n.|父（母）亲; Chinese|/ˌtʃaɪ'niːz/|adj. & n.|中国的；中国人；汉语; food|/fuːd/|n.|食物,live with|和……住在一起; at home|在家; Chinese food|中国菜,今日回读：请重新朗读背诵第 23、22、20、17、9 天的句子。自然重现旧词 his、at、home、and、they、like。,"162,163,164,165,166,167,168"
25,"The family on the wall can speak about sports, and they often play at Hogwarts.",在霍格沃茨，墙上的一家人会谈论运动，他们还经常玩。,can 后接动词原形；often 表示频率，放在实义动词前；speak about 表示“谈论”。,about|/ə'baʊt/|prep. & adv.|关于；大约; wall|/wɔːl/|n.|墙; family|/'fæməli/|n.|家庭; speak|/spiːk/|v.|说（某种语言）；说话; sport|/spɔːt/|n.|运动; often|/'ɒfn; 'ɒftən/|adv.|时常；常常; play|/pleɪ/|v.|玩,on the wall|在墙上; speak about|谈论; play sports|做运动,今日回读：请重新朗读背诵第 24、23、21、18、10 天的句子。自然重现旧词 the、on、can、and、they、at。,"169,170,171,172,173,174,175"
26,"After school, we want to be in a place with music, and we love it.",放学后，我们想待在一个有音乐的地方，我们很喜欢。,want to be/do 表示“想要成为/做”；after school 作时间状语，用逗号与主句隔开。,after|/'ɑːftə(r)/|prep. & conj.|在……以后; school|/skuːl/|n.|学校; want|/wɒnt/|v.|想要; be|/biː; bi/|v.|是; place|/pleɪs/|n.|地方；地点; music|/'mjuːzɪk/|n.|音乐; love|/lʌv/|v. & n.|喜爱；爱,after school|放学后; want to be|想要成为/想要待在; a place with music|有音乐的地方,今日回读：请重新朗读背诵第 25、24、22、19、11 天的句子。自然重现旧词 we、to、in、a、it，以及前天的 with。,"176,177,178,179,180,181,182"
27,"Is this my mother or my aunt? The children are my brothers, sisters and cousins.",这是我妈妈还是我姑姑？这些孩子是我的兄弟、姐妹和堂表亲。,or 连接选择项构成选择疑问句；child 的复数是 children，兄弟姊妹用复数体现一家人多。,or|/ɔː(r)/|conj.|或者；也不（用于否定句）; mother|/'mʌðə(r)/|n.|母亲; child|/tʃaɪld/|n.|(pl. children /'tʃɪldrən/) 儿童；小孩; sister|/'sɪstə(r)/|n.|姐；妹; brother|/'brʌðə(r)/|n.|兄；弟; cousin|/'kʌzn/|n.|堂兄（弟、姊、妹）；表兄（弟、姊、妹）; aunt|/ɑːnt/|n.|姑（姨、伯、婶、舅）母,my mother or my aunt|我妈妈还是我姑姑,今日回读：请重新朗读背诵第 26、25、23、20、12 天的句子。自然重现旧词 is、this、my、the、are、and；呼应第 21 天 our、teacher 的家庭话题。,"183,184,185,186,187,188,189"
28,My grandmother and father come to play ping-pong every day of the week.,我奶奶和爸爸一周七天每天都来打乒乓球。,every day 表示频率“每天”；come to do 表示“来做某事”；主语是两个人，come 用原形。,grandmother|/'ɡrænmʌðə(r)/ (= grandma /'ɡrænmɑː/)|n.|奶奶；外婆; come|/kʌm/|v.|来；来到; ping-pong|/'pɪŋpɒŋ/|n.|乒乓球运动; every|/'evri/|adj.|每一；每个; day|/deɪ/|n.|一天；白天; week|/wiːk/|n.|周; father|/'fɑːðə(r)/|n.|父亲；爸爸,play ping-pong|打乒乓球; every day|每天; every day of the week|一周里的每一天,今日回读：请重新朗读背诵第 27、26、24、21、13 天的句子。自然重现旧词 my、and、to、of、the，以及第 25 天的 play。,"190,191,192,193,194,195,196"
29,"They read a lot in their classroom, play the piano well and play basketball.",他们在教室里读很多书，钢琴弹得好，还打篮球。,乐器前加 the（play the piano），球类前不加 the（play basketball）；a lot 表示“很多”；well 修饰动词。,lot|/lɒt/|pron.|大量；许多; read|/riːd/|v.|读；阅读; piano|/pi'ænəʊ/|n.|(pl. pianos) 钢琴; well|/wel/|adv. & interj. & adj.|好；令人满意地；嗯；好吧；健康的; basketball|/'bɑːskɪtbɔːl/|n.|篮球；篮球运动; classroom|/'klɑːsruːm/|n.|教室; their|/ðeə(r)/|pron.|他（她、它）们的,read a lot|读很多书; play the piano|弹钢琴; play basketball|打篮球,今日回读：请重新朗读背诵第 28、27、25、22、14 天的句子。自然重现旧词 they、a、in、the、and，以及第 25 天的 play。,"197,198,199,200,201,202,203"
30,A little child with short hair plays ball and talks with tall students on the playground.,一个短头发的小孩子在操场上和高个子学生们聊天、玩球。,一般现在时三单：child 是单数，play 和 talk 都加 -s；with short hair 作定语修饰 child。,little|/'lɪtl/|adj.|小的；年幼的; ball|/bɔːl/|n.|球; playground|/'pleɪɡraʊnd/|n.|游乐场；操场; talk|/tɔːk/|v. & n.|说话；交谈; tall|/tɔːl/|adj.|高的; short|/ʃɔːt/|adj.|短的；矮的; hair|/heə(r)/|n.|头发,short hair|短头发; play ball|玩球; on the playground|在操场上,今日回读：请重新朗读背诵第 29、28、26、23、15 天的句子。本句重现了 child（第 27 天）、student（第 22 天）、play（第 25 天）、with（第 24 天）等本批词汇。,"204,205,206,207,208,209,210"
